dataset,context_variant,depth,metric,delta,lo,hi,p_value,n
hotpotqa,full,1,em,-0.15,-0.3,-0.016666666666666666,0.0425,30
hotpotqa,full,1,f1,-0.17724867724867724,-0.30344246031746036,-0.061111111111111116,0.005,30
hotpotqa,full,1,bertscore_f1,-0.15362393333333332,-0.2646117049999999,-0.04801832166666667,0.0062,30
hotpotqa,full,2,em,-0.18333333333333332,-0.31666666666666665,-0.06666666666666667,0.0085,30
hotpotqa,full,2,f1,-0.19724867724867728,-0.32521230158730163,-0.08055224867724872,0.0016,30
hotpotqa,full,2,bertscore_f1,-0.16746311666666666,-0.28362514666666666,-0.057800862916666744,0.0029,30
hotpotqa,full,3,em,-0.16666666666666666,-0.3,-0.05,0.0115,30
hotpotqa,full,3,f1,-0.1944708994708995,-0.31963095238095235,-0.08169246031746032,0.0011,30
hotpotqa,full,3,bertscore_f1,-0.16451716666666666,-0.26972462624999993,-0.06447619250000002,0.0014,30
hotpotqa,full,4,em,-0.23333333333333334,-0.38333333333333336,-0.1,0.0022,30
hotpotqa,full,4,f1,-0.26002645502645505,-0.39246891534391526,-0.13925529100529108,0.0,30
hotpotqa,full,4,bertscore_f1,-0.20531605,-0.31530324833333334,-0.09691035708333338,0.0003,30
hotpotqa,full,5,em,-0.23333333333333334,-0.38333333333333336,-0.1,0.0021,30
hotpotqa,full,5,f1,-0.2728571428571429,-0.4005555555555555,-0.15459920634920638,0.0,30
hotpotqa,full,5,bertscore_f1,-0.21796790000000002,-0.32021933874999997,-0.12084743708333337,0.0001,30
hotpotqa,full,6,em,-0.23333333333333334,-0.38333333333333336,-0.1,0.0021,30
hotpotqa,full,6,f1,-0.270952380952381,-0.40738690476190476,-0.14428571428571427,0.0,30
hotpotqa,full,6,bertscore_f1,-0.20888483333333333,-0.32175697833333333,-0.10402054083333338,0.0001,30
hotpotqa,full,7,em,-0.25,-0.4,-0.11666666666666667,0.0012,30
hotpotqa,full,7,f1,-0.2873015873015873,-0.4164305555555555,-0.16626984126984126,0.0,30
hotpotqa,full,7,bertscore_f1,-0.23986809999999995,-0.34546390375,-0.13581630541666667,0.0,30
hotpotqa,full,8,em,-0.25,-0.4,-0.11666666666666667,0.0012,30
hotpotqa,full,8,f1,-0.293968253968254,-0.422859126984127,-0.17293650793650792,0.0,30
hotpotqa,full,8,bertscore_f1,-0.23231141666666663,-0.3437838783333333,-0.12719471250000003,0.0,30
hotpotqa,full,9,em,-0.26666666666666666,-0.4166666666666667,-0.13333333333333333,0.0006,30
hotpotqa,full,9,f1,-0.31730158730158736,-0.4435714285714286,-0.19959722222222231,0.0,30
hotpotqa,full,9,bertscore_f1,-0.25424501666666666,-0.35518276291666656,-0.15605185333333335,0.0,30
hotpotqa,full,10,em,-0.26666666666666666,-0.4166666666666667,-0.13333333333333333,0.0005,30
hotpotqa,full,10,f1,-0.32603174603174606,-0.45246428571428576,-0.20793650793650795,0.0,30
hotpotqa,full,10,bertscore_f1,-0.27329640000000005,-0.3765172370833333,-0.1728496745833333,0.0,30
hotpotqa,medium,1,em,-0.06666666666666667,-0.16666666666666666,0.016666666666666666,0.25,30
hotpotqa,medium,1,f1,-0.08749999999999998,-0.175,-0.014999999999999998,0.0313,30
hotpotqa,medium,1,bertscore_f1,-0.09276066666666666,-0.1735367533333333,-0.021017214583333343,0.0175,30
hotpotqa,medium,2,em,-0.11666666666666667,-0.21666666666666667,-0.03333333333333333,0.0157,30
hotpotqa,medium,2,f1,-0.14500000000000002,-0.2311111111111111,-0.06831944444444464,0.0004,30
hotpotqa,medium,2,bertscore_f1,-0.14220608333333334,-0.21911569833333336,-0.07071381375000002,0.0003,30
hotpotqa,medium,3,em,-0.1,-0.1837499999999963,-0.016666666666666666,0.0302,30
hotpotqa,medium,3,f1,-0.12833333333333333,-0.20944444444444443,-0.05333333333333334,0.0021,30
hotpotqa,medium,3,bertscore_f1,-0.12606783333333332,-0.19769784208333327,-0.060459059166666704,0.0005,30
hotpotqa,medium,4,em,-0.11666666666666667,-0.21666666666666667,-0.03333333333333333,0.0288,30
hotpotqa,medium,4,f1,-0.1700793650793651,-0.27404960317460314,-0.07317460317460318,0.0015,30
hotpotqa,medium,4,bertscore_f1,-0.15244756666666665,-0.23829323583333334,-0.06924098583333334,0.0007,30
hotpotqa,medium,5,em,-0.1,-0.2,-0.016666666666666666,0.0552,30
hotpotqa,medium,5,f1,-0.1708730158730159,-0.2725396825396825,-0.08071230158730161,0.0007,30
hotpotqa,medium,5,bertscore_f1,-0.15674054999999998,-0.24012433000000002,-0.07795034749999999,0.0002,30
hotpotqa,medium,6,em,-0.1,-0.1837499999999963,-0.016666666666666666,0.0302,30
hotpotqa,medium,6,f1,-0.16730158730158734,-0.255952380952381,-0.08055555555555556,0.0,30
hotpotqa,medium,6,bertscore_f1,-0.15691598333333331,-0.24187166791666667,-0.0746634608333334,0.0003,30
hotpotqa,medium,7,em,-0.15,-0.26666666666666666,-0.05,0.015,30
hotpotqa,medium,7,f1,-0.22206349206349207,-0.3355555555555556,-0.11483730158730163,0.0,30
hotpotqa,medium,7,bertscore_f1,-0.19970186666666667,-0.2996257991666667,-0.10066576750000002,0.0001,30
hotpotqa,medium,8,em,-0.13333333333333333,-0.25,-0.03333333333333333,0.028,30
hotpotqa,medium,8,f1,-0.20039682539682543,-0.3128571428571429,-0.0953928571428572,0.0004,30
hotpotqa,medium,8,bertscore_f1,-0.17195533333333338,-0.2677142933333333,-0.07952458083333334,0.0006,30
hotpotqa,medium,9,em,-0.15,-0.2833333333333333,-0.03333333333333333,0.0236,30
hotpotqa,medium,9,f1,-0.2176695526695527,-0.3400517676767677,-0.10204779942279954,0.0005,30
hotpotqa,medium,9,bertscore_f1,-0.18113508333333334,-0.27952025375000006,-0.0864468537500001,0.0005,30
hotpotqa,medium,10,em,-0.16666666666666666,-0.2833333333333333,-0.06666666666666667,0.0085,30
hotpotqa,medium,10,f1,-0.2178571428571429,-0.3265932539682539,-0.11619047619047619,0.0,30
hotpotqa,medium,10,bertscore_f1,-0.18896873333333333,-0.27954606249999997,-0.09915757375000003,0.0003,30
hotpotqa,short,1,em,-0.1,-0.23333333333333334,0.0,0.1152,30
hotpotqa,short,1,f1,-0.12000000000000001,-0.23333333333333334,-0.031111111111111103,0.0231,30
hotpotqa,short,1,bertscore_f1,-0.09132160000000002,-0.1731379933333333,-0.02366260000000001,0.0178,30
hotpotqa,short,2,em,-0.13333333333333333,-0.26666666666666666,-0.03333333333333333,0.0541,30
hotpotqa,short,2,f1,-0.16555555555555557,-0.29333333333333333,-0.05999999999999999,0.0055,30
hotpotqa,short,2,bertscore_f1,-0.10065373333333333,-0.18417725583333336,-0.03014267458333336,0.0121,30
hotpotqa,short,3,em,-0.11666666666666667,-0.23333333333333334,-0.016666666666666666,0.0531,30
hotpotqa,short,3,f1,-0.18222222222222223,-0.3011388888888886,-0.07666666666666667,0.0021,30
hotpotqa,short,3,bertscore_f1,-0.12032366666666668,-0.21156481708333336,-0.04106801041666667,0.0068,30
hotpotqa,short,4,em,-0.11666666666666667,-0.23333333333333334,-0.016666666666666666,0.0531,30
hotpotqa,short,4,f1,-0.1877777777777778,-0.30777777777777776,-0.08222222222222222,0.0019,30
hotpotqa,short,4,bertscore_f1,-0.11888738333333333,-0.21037548958333327,-0.03770910000000001,0.0081,30
hotpotqa,short,5,em,-0.18333333333333332,-0.3333333333333333,-0.06666666666666667,0.0114,30
hotpotqa,short,5,f1,-0.2544444444444445,-0.3944444444444445,-0.13108333333333375,0.0003,30
hotpotqa,short,5,bertscore_f1,-0.156638,-0.25400507791666666,-0.07050854375,0.0017,30
hotpotqa,short,6,em,-0.18333333333333332,-0.3333333333333333,-0.06666666666666667,0.0114,30
hotpotqa,short,6,f1,-0.2544444444444445,-0.3944444444444445,-0.13108333333333375,0.0003,30
hotpotqa,short,6,bertscore_f1,-0.16160055,-0.25949973291666667,-0.07442452416666671,0.0014,30
hotpotqa,short,7,em,-0.18333333333333332,-0.3333333333333333,-0.06666666666666667,0.0114,30
hotpotqa,short,7,f1,-0.2544444444444445,-0.3944444444444445,-0.13108333333333375,0.0003,30
hotpotqa,short,7,bertscore_f1,-0.15773756666666666,-0.25580331875,-0.07076300208333335,0.0017,30
hotpotqa,short,8,em,-0.18333333333333332,-0.3333333333333333,-0.06666666666666667,0.0114,30
hotpotqa,short,8,f1,-0.2655555555555556,-0.40888888888888886,-0.136652777777778,0.0002,30
hotpotqa,short,8,bertscore_f1,-0.16950231666666668,-0.2706642204166667,-0.07892111041666668,0.0008,30
hotpotqa,short,9,em,-0.18333333333333332,-0.3333333333333333,-0.06666666666666667,0.0114,30
hotpotqa,short,9,f1,-0.2638888888888889,-0.40833333333333327,-0.13444444444444445,0.0003,30
hotpotqa,short,9,bertscore_f1,-0.16391435000000001,-0.2681996183333334,-0.06787984500000004,0.0021,30
hotpotqa,short,10,em,-0.16666666666666666,-0.3,-0.03333333333333333,0.0227,30
hotpotqa,short,10,f1,-0.24722222222222223,-0.39055555555555554,-0.11776388888888908,0.0007,30
hotpotqa,short,10,bertscore_f1,-0.14599933333333331,-0.25053843875,-0.05043110125000002,0.0052,30
musique,full,1,em,-0.16666666666666666,-0.31666666666666665,-0.05,0.0204,30
musique,full,1,f1,-0.18829937079937084,-0.3238949842699842,-0.07199178642928648,0.0048,30
musique,full,1,bertscore_f1,-0.16204454999999998,-0.29159746124999997,-0.05465263291666666,0.0089,30
musique,full,2,em,-0.18333333333333332,-0.3333333333333333,-0.05,0.0203,30
musique,full,2,f1,-0.18939364689364693,-0.34357070707070714,-0.049395721208221284,0.0118,30
musique,full,2,bertscore_f1,-0.15010104999999999,-0.2980086066666665,-0.017580104166666666,0.0353,30
musique,full,3,em,-0.16666666666666666,-0.31666666666666665,-0.016666666666666666,0.0372,30
musique,full,3,f1,-0.18414352664352665,-0.3218668538668539,-0.062425776425776444,0.0057,30
musique,full,3,bertscore_f1,-0.15985711666666663,-0.2962041408333333,-0.04409266666666666,0.0152,30
musique,full,4,em,-0.2,-0.36666666666666664,-0.05,0.0161,30
musique,full,4,f1,-0.21118296868296874,-0.3552783944658944,-0.08343736593736595,0.0025,30
musique,full,4,bertscore_f1,-0.20567119999999997,-0.3450884191666666,-0.08407545833333335,0.0032,30
musique,full,5,em,-0.18333333333333332,-0.3333333333333333,-0.05,0.0206,30
musique,full,5,f1,-0.19835228085228085,-0.33585426497926496,-0.0748593682968683,0.003,30
musique,full,5,bertscore_f1,-0.19049929999999998,-0.31938039333333335,-0.07557087416666666,0.003,30
musique,full,6,em,-0.18333333333333332,-0.35,-0.016666666666666666,0.044,30
